Planet Name,Distance (pc),Gravity (× Earth),Temperature (K),Habitability Score
GJ 1002 b,4.84867,1.0180035818644548,230.9,0.7748452186691477
GJ 1002 c,4.84867,1.1239669421487601,181.7,0.5838285357528745
Proxima Cen b,1.30119,1.0140330642060746,218.0,0.7400721778966681
Ross 128 b,3.37454,1.1362714065416766,301.0,0.8603945680867657
Teegarden's Star b,3.83078,1.0521541950113378,277.0,0.9175278952545012
Teegarden's Star c,3.83078,1.0092272202998847,209.0,0.7191387760577632
